name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"QUXIS Portable High Pressure Foot Air Pump Heavy Compressor Cylinder with Pressure Gauge Floor Pump for Motorbike, for Car...",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sHYhGL3pL._AC_UL320_.jpg,https://www.amazon.in/QUXIS-Portable-Activated-Pressure-Gauge/dp/B098DYLKP1/ref=sr_1_1?qid=1679216992&s=sports&sr=1-1,4.0,"7,635",₹499,"₹1,299"
"Boldfit Gym Shaker for Protein Shake Leakproof Shaker Bottles for Protein, Preworkout and Bcaa Shake, Protein Shaker Bottl...",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51NKPZx0a6L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Typhoon-Shaker-Leakproof-Preworkout/dp/B08JTMZRJW/ref=sr_1_2?qid=1679216992&s=sports&sr=1-2,4.1,"8,052",,₹229
Techista 2-in-1 Rechargeable - Cycle Light (3 Modes) Cycle Light and Horn/Cycle Lights Rechargeable Waterproof (140 dB) Cy...,sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61AkAm4EAML._AC_UL320_.jpg,https://www.amazon.in/Techista-2-1-Rechargeable-Waterproof/dp/B09KH81K1W/ref=sr_1_3?qid=1679216992&s=sports&sr=1-3,4.1,"2,214",₹339,₹999
"Nivia Plain Encounter Stockings (L, Black) - Polyester Blend, Unisex,Knee Length, Pack of 1 Pair",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71z7s3J9qVL._AC_UL320_.jpg,https://www.amazon.in/Nivia-728LBW-Encounter-Blend-Stockings/dp/B079SCPN7W/ref=sr_1_4?qid=1679216992&s=sports&sr=1-4,4.1,"2,974",₹145,₹149
"Eazo Steel Multipurpose Air Pump with needle (use for Car,Bicycles,Scooters,Balls,Bikes etc)",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616qy5Stc5L._AC_UL320_.jpg,https://www.amazon.in/EAZO-Steel-Multipurpose-Bicycles-Scooters/dp/B092SG8KM8/ref=sr_1_5?qid=1679216992&s=sports&sr=1-5,4.1,"3,678",₹369,₹450
Gadget Deals Combo of Rechargeable Head Cycle Light and Cycle Tail Light Cycle Light led for Bicycle,sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51uY2GdkWVL._AC_UL320_.jpg,https://www.amazon.in/Gadget-Deals-Combo-Rechargeable-Bicycle/dp/B08PP8XMFN/ref=sr_1_6?qid=1679216992&s=sports&sr=1-6,3.8,"1,444",₹279,"₹1,199"
"Lista Rechargeable Bike Horn and Light 140 DB with Super Bright 250 Lumen Light 3 Modes, Plastic",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/618BL2J+3xL._AC_UL320_.jpg,https://www.amazon.in/Lista-Lista056-Rechargeable-Light-Bright/dp/B075GYJSPT/ref=sr_1_7?qid=1679216992&s=sports&sr=1-7,3.9,"8,334",₹339,₹599
"PURSUE FASHION Premium Cotton Ankle Socks for Men and Women - Free Size, Solid Unisex Ankle Length Socks, Pack of 5 (Multi...",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gqkgPxczL._AC_UL320_.jpg,https://www.amazon.in/PURSUE-FASHION-Womens-Ankle-Socks/dp/B0BBG1SWK5/ref=sr_1_8?qid=1679216992&s=sports&sr=1-8,3.9,66,₹289,₹699
"Strauss Bicycle Computer Odometer Speedometer Wired Cyclocomputer, ()",sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611QYlzagoL._AC_UL320_.jpg,https://www.amazon.in/Strauss-Bicycle-Speedometer-Black-Red/dp/B09BQ834ZZ/ref=sr_1_9?qid=1679216992&s=sports&sr=1-9,3.7,566,₹287,₹849
Lista Lista002 Bicycle Silicone Saddle Seat and Cycling Cushion Pad Bike Gel Cover,sports & fitness,Cycling,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51gqOgzMwJS._AC_UL320_.jpg,https://www.amazon.in/Quality-Bicycle-Silicone-Cycling-Cushion/dp/B00RV3CLVU/ref=sr_1_10?qid=1679216992&s=sports&sr=1-10,3.6,"6,580",₹205,₹999
